,base_market,quote_market,hedge_ratio,half_life
0,SUSHI-USD,ALGO-USD,6.197623702808163,10.0
1,SUSHI-USD,AAVE-USD,0.011240086070689818,9.0
2,SUSHI-USD,1INCH-USD,2.3706509613233324,15.0
3,SUSHI-USD,ZRX-USD,2.245774480787038,10.0
4,SUSHI-USD,ZEC-USD,0.04332613414409957,12.0
5,SUSHI-USD,RUNE-USD,0.19373039151440025,19.0
6,ALGO-USD,AAVE-USD,0.0018134659060065517,8.0
7,MKR-USD,1INCH-USD,5484.862935863388,9.0
8,MKR-USD,ZEC-USD,100.22703579455103,12.0
9,MKR-USD,UMA-USD,795.4378133721488,6.0
10,CELO-USD,EOS-USD,1.0189257621227457,6.0
11,ICP-USD,NEAR-USD,1.6543734176732086,8.0
12,DOGE-USD,AVAX-USD,0.004463003627080045,8.0
13,DOGE-USD,ZEC-USD,0.006062069499417169,10.0
14,COMP-USD,YFI-USD,0.00844794993159914,8.0
15,XTZ-USD,ZEC-USD,0.03559524531869109,5.0
16,SOL-USD,ATOM-USD,20.0117665506652,9.0
17,AAVE-USD,1INCH-USD,210.90357037642912,12.0
18,AAVE-USD,UMA-USD,30.5878057227102,8.0
19,AVAX-USD,ZEC-USD,1.358223582415517,9.0
20,ENJ-USD,CRV-USD,0.6650992534070996,20.0
21,NEAR-USD,RUNE-USD,1.2147544978291904,11.0
22,1INCH-USD,ZEC-USD,0.018267754783011608,9.0
23,1INCH-USD,UMA-USD,0.1449885739015214,5.0
24,ZRX-USD,RUNE-USD,0.0862614207519978,14.0
25,DOT-USD,ZEC-USD,0.27065681360717325,16.0
