,base_market,quote_market,hedge_ratio,half_life
0,SUSHI-USD,DOGE-USD,7.345820633717558,6.0
1,SUSHI-USD,COMP-USD,0.019761272460844994,5.0
2,SUSHI-USD,YFI-USD,0.00016903759383232815,11.0
3,SUSHI-USD,NEAR-USD,0.15760809212972104,10.0
4,LTC-USD,MATIC-USD,117.48527957816769,17.0
5,LTC-USD,ADA-USD,183.31951565330525,17.0
6,LTC-USD,SOL-USD,0.4983342594014048,16.0
7,ALGO-USD,AAVE-USD,0.0018239246803635457,18.0
8,MKR-USD,AVAX-USD,73.960752636826,13.0
9,ICP-USD,MATIC-USD,17.052206151134474,19.0
10,ICP-USD,ADA-USD,26.612362277756436,5.0
11,ICP-USD,AVAX-USD,0.3301420351175388,20.0
12,DOGE-USD,COMP-USD,0.002689390266325321,5.0
13,DOGE-USD,XTZ-USD,0.17024028337776317,4.0
14,DOGE-USD,YFI-USD,2.3010332904805026e-05,3.0
15,DOGE-USD,SNX-USD,0.05693596022615437,19.0
16,DOGE-USD,NEAR-USD,0.021450759550054845,10.0
17,COMP-USD,YFI-USD,0.008554267988736994,8.0
18,XTZ-USD,YFI-USD,0.00013514854627854638,5.0
19,XTZ-USD,XLM-USD,8.892762901628815,6.0
20,XTZ-USD,SNX-USD,0.3344145026715227,20.0
21,XTZ-USD,NEAR-USD,0.12597799279045965,17.0
22,EOS-USD,NEAR-USD,0.1076804246769679,19.0
